Fecha;Hora share;Dia share;vistas
2013-11-08 18:41:14;18;4;1
2013-11-08 18:41:34;18;4;1
2013-11-08 18:42:42;18;4;1
2013-11-08 18:42:55;18;4;1
2013-11-08 18:44:07;18;4;1
2013-11-08 18:44:49;18;4;1
2013-11-08 18:45:09;18;4;1
2013-11-08 18:45:41;18;4;1
2013-11-08 18:46:51;18;4;1
2013-11-08 18:49:56;18;4;1
2013-11-08 18:50:23;18;4;1
2013-11-08 18:50:40;18;4;2
2013-11-08 18:51:20;18;4;1
2013-11-08 18:51:55;18;4;2
2013-11-08 18:52:06;18;4;2
2013-11-08 18:52:17;18;4;2
2013-11-08 18:54:33;18;4;2
2013-11-08 18:57:07;18;4;1
2013-11-08 18:57:17;18;4;1
2013-11-08 18:57:29;18;4;1
2013-11-08 18:57:55;18;4;1
2013-11-08 19:03:39;19;4;1
2013-11-08 19:03:54;19;4;1
2013-11-08 19:03:58;19;4;1
2013-11-08 19:04:19;19;4;1
2013-11-08 19:04:29;19;4;1
2013-11-08 19:04:41;19;4;2
2013-11-08 19:12:08;19;4;2
2013-11-08 19:18:45;19;4;2
2013-11-08 19:20:16;19;4;1
2013-11-08 19:20:39;19;4;1
2013-11-08 19:22:05;19;4;1
2013-11-08 19:24:28;19;4;1
2013-11-08 19:24:48;19;4;1
2013-11-08 19:25:29;19;4;1
2013-11-08 19:25:38;19;4;1
2013-11-08 19:25:53;19;4;1
2013-11-08 19:26:04;19;4;1
2013-11-08 19:26:41;19;4;1
2013-11-08 19:26:55;19;4;1
2013-11-08 19:27:15;19;4;1
2013-11-08 19:48:29;19;4;1
2013-11-08 22:04:27;22;4;3
2013-11-08 22:31:49;22;4;66
2013-11-09 01:25:29;1;5;2
2013-11-09 17:03:43;17;5;32
2013-11-09 17:46:19;17;5;1
2013-11-09 17:46:43;17;5;1
2013-11-09 17:46:54;17;5;2
2013-11-09 17:47:48;17;5;1
2013-11-09 17:48:23;17;5;1
2013-11-09 17:48:38;17;5;1
2013-11-09 17:49:01;17;5;1
2013-11-09 17:49:50;17;5;1
2013-11-09 17:50:01;17;5;1
2013-11-09 17:50:11;17;5;4
2013-11-09 19:23:55;19;5;19
2013-11-09 21:54:07;21;5;11
2013-11-09 22:54:08;22;5;88
2013-11-10 00:26:30;0;6;1
2013-11-10 00:29:56;0;6;2
2013-11-10 04:43:16;4;6;11
2013-11-10 15:56:17;15;6;152
2013-11-10 16:42:13;16;6;13
2013-11-10 18:45:31;18;6;33
2013-11-10 19:06:49;19;6;22
2013-11-10 19:08:54;19;6;44
2013-11-10 19:19:42;19;6;1
2013-11-10 19:59:27;19;6;2
2013-11-10 21:12:28;21;6;1
2013-11-10 21:43:29;21;6;19
2013-11-10 23:18:41;23;6;2
2013-11-10 23:19:19;23;6;2
2013-11-11 00:22:11;0;0;22
2013-11-11 00:29:37;0;0;8
2013-11-11 00:30:46;0;0;3
2013-11-11 00:38:43;0;0;6
2013-11-11 00:57:42;0;0;51
2013-11-11 00:58:53;0;0;1
2013-11-11 01:00:31;1;0;5
2013-11-11 01:07:33;1;0;2
2013-11-11 01:12:41;1;0;5
2013-11-11 01:14:51;1;0;2
2013-11-11 01:24:16;1;0;2
2013-11-11 01:30:33;1;0;5
2013-11-11 01:31:06;1;0;4
2013-11-11 01:40:21;1;0;2
2013-11-11 02:03:33;2;0;37
2013-11-11 02:15:43;2;0;1
2013-11-11 02:32:33;2;0;1
2013-11-11 03:19:06;3;0;3
2013-11-11 03:24:12;3;0;27
2013-11-11 03:43:17;3;0;2
2013-11-11 03:43:34;3;0;2
2013-11-11 03:46:41;3;0;19
2013-11-11 03:49:04;3;0;2
2013-11-11 03:49:33;3;0;3
2013-11-11 03:49:48;3;0;3
2013-11-11 03:50:16;3;0;3
2013-11-11 03:50:28;3;0;3
2013-11-11 03:50:42;3;0;2
2013-11-11 03:51:00;3;0;4
2013-11-11 03:51:12;3;0;4
2013-11-11 03:51:25;3;0;4
2013-11-11 03:51:41;3;0;4
2013-11-11 03:51:58;3;0;5
2013-11-11 03:52:11;3;0;5
2013-11-11 03:52:23;3;0;5
2013-11-11 03:52:34;3;0;5
2013-11-11 03:52:51;3;0;5
2013-11-11 03:53:04;3;0;5
2013-11-11 03:53:18;3;0;6
