id;url;saldo_actual;category;points_per_view;release_date;release_date_youtube;duracion;release_difference;total_views;points_given;shares_first_day;shares_first_week;shares_first_month;male_shares;female_shares;total_shares;total_users_at_release;1_week_active_users_at_release;2_week_active_users_at_release;1_week_new_users_at_release;2_week_new_users_at_release;active_raffles_at_release;1_week_active_raffles;2_week_active_raffles
23;NA6CAgv6p6g;5560;VIDEOJUEGOS;120;2013-10-09 13:17:32;2013-06-11 14:41:54;132;10362938;915;114624;1;25;90;66;58;146;220;4;4;10;11;0;11;12
684;ZuU_bw7iAU4;72550;MISC;30;2014-06-30 23:37:43;2014-06-30 15:30:01;273;29262;915;27450;1;3;3;2;0;3;2474;23;39;8;24;6;6;6
423;gzYJaQ0h4Dg;52880;MISC;30;2014-04-03 14:10:14;2014-04-03 13:26:16;78;2638;911;27120;3;5;5;3;1;5;2195;61;100;35;79;4;5;6
437;7q5mgtUOI_w;373270;MISC;30;2014-04-06 03:59:59;2014-04-03 18:06:58;147;208381;898;26730;4;9;9;4;4;9;2211;54;97;38;74;4;6;6
895;k_3RnrJQwh8;73390;DEPORTES;30;2014-10-28 22:28:29;2014-10-28 18:44:44;207;13425;889;26610;4;4;4;2;0;4;2701;8;10;5;7;0;0;0
118;2rVjF_k8V10;0;M;120;2013-12-10 02:40:00;2013-12-10 02:00:57;31;2343;883;75840;22;40;52;31;26;61;1319;138;239;110;229;6;6;6
71;voI6JXdqJFM;9880;CINE;20;2013-11-07 17:52:03;2013-11-06 13:08:19;170;103424;881;20110;14;27;36;22;16;42;851;113;227;79;231;9;9;9
675;QxVZYiJKl1Y;73810;MISC;30;2014-06-25 13:39:23;2014-06-02 09:59:34;156;2000389;874;26190;4;5;5;3;1;5;2467;23;47;12;34;2;7;7
121;zIEIvi2MuEk;3600;IDEAS;20;2013-12-11 02:15:17;2013-12-09 02:26:57;326;172100;851;17790;11;17;20;7;11;20;1334;144;244;115;234;6;6;6
931;RFinNxS5KN4;76300;CINE;30;2014-11-25 17:44:02;2014-11-25 17:00:01;161;2641;812;23700;2;2;2;1;0;2;2714;7;10;1;5;0;0;1
24;DueE8vJXpo8;5296;VIDEOJUEGOS;132;2013-10-09 13:18:06;2013-06-11 19:00:57;166;10347429;804;100944;1;29;90;69;70;160;220;4;4;10;11;0;11;12
543;jOlVJv7jAHg;76330;DEPORTES;30;2014-05-09 17:49:22;2014-05-06 18:45:13;44;255849;800;23670;3;6;6;3;2;6;2370;28;50;14;27;4;4;4
98;F3XTAw3tzyI;14900;CINE;20;2013-11-22 22:19:35;2013-11-19 15:54:04;207;282331;796;21760;4;19;35;13;16;35;1074;85;213;68;202;8;8;8
435;JI3Qekgp6yI;420684;MISC;30;2014-04-05 16:50:57;2014-04-04 19:34:36;117;76581;796;23760;3;6;6;2;3;6;2208;58;98;36;76;4;6;6
41;dhuUhaNIWLQ;4950;MISC;10;2013-10-24 23:17:03;2013-10-11 17:32:44;121;1143859;789;21605;11;25;36;15;25;43;623;164;311;137;376;11;11;12
64;LL2GQrvbb1k;8860;MISC;20;2013-11-04 03:44:59;2013-11-01 16:17:56;99;214023;772;8960;3;7;15;10;7;19;799;118;242;90;254;8;9;9
113;9QNdx2hs0n4;9020;DEPORTES;20;2013-12-05 02:40:35;2013-11-16 00:21:51;181;1649924;768;20960;9;17;18;9;5;18;1244;153;211;117;189;6;6;6
25;PwwjcfgTksU;24364;VIDEOJUEGOS;132;2013-10-09 13:18:44;2013-06-11 14:41:54;112;10363010;764;95316;2;49;122;87;69;183;220;4;4;10;11;0;11;12
35;Zu4RPW6RUws;12613;MISC;77;2013-10-22 13:37:29;2012-10-11 14:13:40;60;32484229;758;52346;20;44;82;27;101;146;564;183;274;178;348;10;11;12
758;W9QMM_nTuC4;77620;MISC;30;2014-08-08 16:03:31;2014-08-06 04:44:49;231;213522;748;22380;1;2;2;0;1;2;2583;11;31;8;36;8;8;8
82;ARM42-eorzE;3700;MISC;20;2013-11-14 03:14:50;2013-11-10 16:00:01;234;299689;744;14300;14;18;32;7;22;32;955;149;215;109;188;9;9;9
37;UelJZG_bF98;4860;MISC;40;2013-10-24 16:13:17;2013-10-17 16:55:02;61;602295;740;35140;11;29;42;42;40;90;619;167;314;152;396;11;11;12
747;gJ_3BN0m7S8;78160;MISC;30;2014-07-31 19:58:51;2014-06-22 00:02:45;133;3441366;732;21840;2;3;3;1;0;3;2569;26;37;26;54;8;8;8
667;hQeeJEpBYsg;78220;IDEAS;30;2014-06-20 13:41:26;2014-06-11 09:39:46;236;792100;727;21780;3;3;3;2;0;3;2459;30;48;21;32;2;2;7
68;AnLbe5jy0V0;0;MISC;50;2013-11-05 21:37:29;2013-07-19 21:12:06;50;9419123;713;34910;14;37;96;22;91;127;818;118;234;79;245;9;9;9
405;S7LcNUxcQ8Y;878760;MISC;30;2014-03-28 12:43:05;2014-03-27 14:14:30;161;80915;709;21240;3;4;4;1;2;4;2163;61;99;40;85;4;5;7
750;qs_-emj1qR4;79180;MISC;30;2014-08-05 03:26:46;2014-08-03 22:05:00;255;105706;700;20820;4;4;4;0;3;4;2577;22;36;16;40;8;8;8
54;hmWMz10Ftko;20;DEPORTES;30;2013-10-30 14:02:34;0000-00-00 00:00:00;0;-1;695;23770;10;13;38;32;19;57;758;168;281;168;315;9;10;10
136;mU7tXqYplA8;12000;NA;70;2013-12-18 18:00:46;2013-12-18 14:32:59;133;12467;670;45150;12;21;50;29;17;52;1373;90;183;34;149;5;5;5
13;3OM9LLeGRAU;51576;MISC;44;2013-10-09 13:10:13;0000-00-00 00:00:00;0;-1;666;28424;1;44;89;36;100;163;220;4;4;10;11;0;11;12
696;1N5THRSp4hM;80860;MISC;30;2014-07-07 13:31:44;2014-07-06 09:59:23;137;99141;641;19140;2;3;3;2;0;3;2488;25;37;14;22;4;4;4
614;g9zhr-OLmc0;980980;MISC;30;2014-05-28 17:31:54;2014-05-28 11:21:20;36;22234;639;19020;3;4;4;3;0;4;2407;38;50;15;24;6;6;6
916;FqnKB22pOC0;81100;VIDEOJUEGOS;30;2014-11-08 13:02:23;2014-11-07 20:15:32;361;60411;636;18900;1;1;2;0;1;2;2707;7;10;5;6;0;0;0
691;sXk2AbdTe68;81340;MISC;30;2014-07-03 03:01:39;2014-06-19 21:47:45;177;1142034;623;18660;4;4;4;3;0;4;2476;22;39;8;21;5;5;5
759;mvpMyZCLAIA;82210;DEPORTES;30;2014-08-09 21:53:10;2014-08-09 13:00:08;259;31982;595;17790;1;1;1;0;0;1;2586;10;29;9;36;8;8;8
156;FH1FCBmcNGg;16580;M;60;2014-01-02 16:04:37;2014-01-01 02:58:31;31;133566;580;33420;11;22;52;46;31;82;1413;38;70;22;36;0;8;8
119;eX0Iy93nqKs;14140;MISC;20;2013-12-10 16:13:24;2013-12-02 06:18:21;234;726903;573;10850;19;23;25;9;12;25;1323;141;241;109;231;6;6;6
29;baMMPhfNDdA;45750;MISC;90;2013-10-16 15:24:07;0000-00-00 00:00:00;0;-1;556;54250;10;38;81;61;64;141;449;185;186;229;239;10;11;11
36;Cj6ho1-G6tw;17572;DEPORTES;40;2013-10-23 20:25:11;2010-11-16 15:39:33;463;92637938;553;22428;16;33;50;56;38;106;601;172;304;152;380;11;11;12
739;w0pjD4qpIpg;81200;MISC;50;2014-07-28 20:42:27;2014-07-28 04:00:26;31;60121;553;18800;3;8;10;4;6;12;2560;23;32;25;53;1;8;8
936;erLk59H86ww;283800;CINE;30;2014-11-28 15:20:33;2014-11-28 15:15:28;99;305;548;16200;2;2;2;1;0;2;2716;4;9;2;5;0;0;1
666;Oxc-hhQldBE;78280;DEPORTES;40;2014-06-20 02:14:02;2014-06-19 16:01:47;181;36735;546;21720;6;7;10;6;4;12;2458;29;49;20;31;2;2;7
86;M7FIvfx5J10;3040;MISC;20;2013-11-17 21:56:07;2013-11-14 07:00:03;77;312964;543;10840;16;20;31;16;14;35;1021;163;253;137;228;8;8;8
18;peMSWg94ZwY;57258;M;100;2013-10-09 13:15:30;2013-08-26 03:00:43;31;3838487;532;56162;1;26;80;67;61;150;220;4;4;10;11;0;11;12
722;S8b1zWOgOKA;84130;VIDEOJUEGOS;30;2014-07-22 21:22:57;2014-07-22 20:35:37;208;2840;529;15870;3;4;4;2;1;4;2537;13;25;28;40;2;2;9
