duracion;release_difference;total_views;shares_first_day;shares_first_month;shares_first_week;total_shares;total_users;active_users;new_users;active_raffles;release_difference_hours;release_difference_days;active_canjes;active_shares;penetracion
68;84504;347;11;21;18;21;1457;131;43;8;23.5;1;1;21;0.41
278;10397;359;9;23;20;24;1479;156;64;8;2.9;0;1;24;0.62
152;197967;55;6;10;9;10;1490;183;67;8;55;2;2;10;0.53
122;192164;23;5;12;8;12;1494;194;70;8;53.4;2;0;12;0.59
154;187984;1;2;2;2;2;1499;199;73;8;52.2;2;1;2;0.66
154;189678;18;5;8;8;8;1499;148;73;8;52.7;2;4;8;0.66
178;16184781;123;6;9;9;9;1499;142;73;8;4495.8;187;0;9;0.46
64;-1;34;5;10;10;10;1499;172;73;8;0;0;1;10;0.42
187;373420;57;4;13;11;13;1499;139;73;8;103.7;4;0;13;0.29
152;13672078;34;3;10;9;10;1507;140;81;8;3797.8;158;0;10;0.55
104;39522;27;8;13;12;13;1508;132;81;8;11;0;4;13;0.45
113;12503945;213;7;12;8;16;1508;157;81;8;3473.3;145;2;16;0.75
147;15121354;243;8;17;11;22;1508;138;81;8;4200.4;175;1;22;0.79
96;4669181;312;8;18;12;23;1508;149;81;8;1297;54;4;23;0.37
179;281646;112;6;9;9;9;1509;174;80;8;78.2;3;0;9;0.69
90;9540;319;5;21;16;29;1510;143;80;7;2.6;0;2;29;0.43
103;551095;273;6;17;13;24;1513;148;83;7;153.1;6;2;24;0.26
95;-1;18;5;8;7;8;1515;190;85;7;0;0;0;8;0.37
136;4821938;32;7;9;9;9;1518;131;88;7;1339.4;56;2;9;0.43
92;2158603;23;5;7;7;7;1519;148;89;7;599.6;25;2;7;0.33
152;91100;104;8;10;10;10;1520;164;89;7;25.3;1;2;10;0.68
109;24184;341;13;20;19;20;1520;135;89;7;6.7;0;2;20;0.57
162;-1;108;5;6;6;6;1527;128;95;7;0;0;3;6;0.23
93;853557;158;5;11;9;11;1529;151;97;7;237.1;10;3;11;0.46
150;412224;29;4;10;6;11;1531;137;99;7;114.5;5;1;11;0.61
202;111548;91;6;8;7;8;1531;153;99;7;31;1;2;8;0.69
53;171108;14;4;7;6;7;1531;114;96;6;47.5;2;2;7;0.46
175;6166;47;4;9;7;9;1531;89;96;6;1.7;0;2;9;0.56
164;37144;76;6;14;10;19;1531;109;96;6;10.3;0;2;19;0.66
111;64082;320;8;21;15;30;1534;55;96;6;17.8;1;1;30;0.63
106;7481;156;5;7;6;7;1535;152;65;6;2.1;0;3;7;0.49
203;61636;8;3;5;5;5;1536;98;42;6;17.1;1;2;5;0.59
153;701103;45;3;10;10;10;1537;111;37;6;194.8;8;1;10;0.44
286;33075;10;3;6;4;6;1537;116;30;6;9.2;0;1;6;0.54
123;4684945;42;2;12;11;12;1538;82;28;6;1301.4;54;3;12;0.63
205;27889;20;3;4;4;4;1540;88;30;6;7.7;0;3;4;0.34
208;589281;27;5;9;9;9;1541;97;30;6;163.7;7;1;9;0.32
359;134072;12;3;4;4;4;1541;102;30;6;37.2;2;2;4;0.62
133;76194;48;5;8;7;8;1541;97;29;6;21.2;1;1;8;0.65
71;499588;22;2;7;5;7;1541;49;26;6;138.8;6;1;7;0.77
145;83129;27;3;8;5;8;1541;145;22;6;23.1;1;1;8;0.25
78;69198;37;3;7;5;7;1541;155;21;6;19.2;1;2;7;0.6
49;-1;25;3;3;3;3;1541;91;17;6;0;0;1;75;0.82
62;181052;9;2;5;3;5;1542;137;17;6;50.3;2;0;5;0.48
403;83700;7;2;6;4;6;1542;92;15;6;23.2;1;3;6;0.27
104;-1;246;6;26;17;41;1542;113;12;6;0;0;1;41;0.62
91;369521;18;4;6;4;6;1543;86;8;6;102.6;4;2;6;0.46
205;607035;99;9;10;9;10;1545;87;10;6;168.6;7;1;10;0.26
143;-263851;6;4;4;4;4;1547;134;12;6;0;0;0;4;0.32
174;444657;33;4;9;9;9;1547;89;11;6;123.5;5;2;9;0.8
214;3815216;62;5;8;8;8;1547;104;11;6;1059.8;44;2;8;0.61
301;730742;12;4;10;5;10;1551;82;13;6;203;8;3;10;0.46
50;50379;478;3;4;4;4;1551;99;13;6;14;1;2;4;0.27
52;473062;6;2;3;3;3;1551;115;11;6;131.4;5;2;3;0.41
61;14866;15;3;8;7;8;1554;157;13;6;4.1;0;3;8;0.63
268;9712;113;3;15;5;23;1554;89;13;6;2.7;0;1;23;0.48
