duracion;release_difference;total_views;shares_first_day;shares_first_month;shares_first_week;total_shares;total_users;active_users;new_users;active_raffles;release_difference_hours;release_difference_days;active_canjes;active_shares;penetracion
255;105706;700;4;4;4;4;2577;124;16;8;29.4;1;2;4;0.44
172;38816;29;1;1;1;1;2577;129;15;8;10.8;0;0;1;0.54
125;46144;20;1;1;1;1;2578;146;12;8;12.8;1;2;1;0.21
177;84115;3;1;1;1;1;2578;162;12;8;23.4;1;0;1;0.68
68;24089;1028;2;2;2;2;2578;159;12;8;6.7;0;0;2;0.28
108;12039;24;1;4;2;4;2578;136;12;8;3.3;0;2;4;0.41
69;15077283;31;1;1;1;1;2580;183;12;8;4188.1;175;3;1;0.33
206;9011;14;1;1;1;1;2580;191;12;8;2.5;0;4;1;0.24
231;213522;748;1;2;2;2;2583;143;8;8;59.3;2;3;2;0.41
259;31982;595;1;1;1;1;2586;125;9;8;8.9;0;1;1;0.39
105;154733;29;1;1;1;1;2587;149;10;8;43;2;1;1;0.6
157;-1;11;1;1;1;1;2587;146;10;8;0;0;4;1;0.46
212;401419;19;1;5;3;5;2588;149;11;8;111.5;5;1;5;0.5
606;126814;85;1;1;1;1;2588;141;11;8;35.2;1;3;1;0.21
82;144216;56;1;6;1;9;2588;199;11;8;40.1;2;2;9;0.36
159;6337;25;1;1;1;1;2588;129;11;8;1.8;0;1;1;0.34
101;267413;2;1;1;1;1;2589;150;9;8;74.3;3;2;1;0.36
293;14930;3;1;2;2;2;2589;171;8;8;4.1;0;2;2;0.59
37;356373;7;1;1;1;1;2590;130;7;8;99;4;0;1;0.64
135;121621;13;1;1;1;1;2591;138;8;8;33.8;1;1;1;0.46
123;647469;10;1;4;3;4;2591;134;8;8;179.9;7;3;4;0.38
90;82210;23;1;2;2;2;2593;124;7;8;22.8;1;1;2;0.29
205;16399;17;2;2;2;2;2594;125;6;8;4.6;0;2;2;0.76
134;-1;33;1;1;1;2;2595;194;7;8;0;0;3;2;0.21
218;176272;3;1;1;1;1;2595;138;7;8;49;2;3;1;0.43
189;11993;28;1;1;1;1;2595;155;7;8;3.3;0;2;1;0.72
380;15406;10;1;1;1;1;2595;199;7;8;4.3;0;3;1;0.55
73;143948;93;2;2;2;2;2596;123;7;8;40;2;2;2;0.78
146;342340;36;1;1;1;2;2597;135;3;7;95.1;4;2;2;0.4
45;264460;35;1;1;1;1;2597;146;3;7;73.5;3;1;1;0.61
19;336350;42;1;1;1;1;2598;137;4;7;93.4;4;2;1;0.75
44;58916;17;1;1;1;1;2598;141;4;7;16.4;1;2;1;0.65
166;97514;16;1;1;1;1;2599;191;5;7;27.1;1;3;1;0.2
188;35038;57;1;2;1;3;2600;192;6;7;9.7;0;1;3;0.54
16;314384;243;1;4;4;4;2600;179;6;7;87.3;4;3;4;0.65
146;5184;39;1;1;1;1;2600;123;6;7;1.4;0;2;1;0.63
41;4410;8696;4;4;4;4;2600;189;5;7;1.2;0;0;161;0.85
185;80619;28;1;1;1;1;2600;149;5;7;22.4;1;2;1;0.22
376;30971;16;1;1;1;1;2602;153;7;7;8.6;0;3;1;0.46
490;60465;70;3;3;3;3;2603;171;7;7;16.8;1;3;3;0.3
101;46424;5;1;1;1;2;2604;149;8;7;12.9;1;1;2;0.47
256;24904;66;1;3;2;3;2609;2;9;0;6.9;0;1;0;0.56
61;180769;21;1;1;1;1;2609;40;7;0;50.2;2;0;1;0.54
170;107210;21;1;5;2;5;2609;32;7;0;29.8;1;0;5;0.44
36;208526;189;1;2;2;2;2609;54;7;0;57.9;2;1;2;0.75
239;32250;2593;2;4;4;4;2609;18;5;0;9;0;1;4;0.53
46;742026;22778;1;3;3;3;2609;77;5;0;206.1;9;1;3;0.28
106;42514;9;1;3;3;3;2609;39;5;0;11.8;0;1;3;0.61
163;96069;2705;2;4;4;4;2610;16;4;0;26.7;1;0;4;0.27
64;82237;1170;1;2;2;2;2612;23;5;0;22.8;1;1;2;0.45
97;292686;96;1;2;1;2;2617;14;10;0;81.3;3;1;2;0.4
573;59866;18;1;3;3;3;2618;11;11;0;16.6;1;0;3;0.67
330;20677;5141;3;3;3;3;2618;2;10;0;5.7;0;1;1;0.74
93;32327;31;2;4;3;4;2628;31;20;0;9;0;0;4;0.69
171;466506;70;2;4;2;4;2630;68;21;0;129.6;5;0;4;0.35
204;19366;10;1;1;1;1;2630;8;21;0;5.4;0;0;1;0.46
175;-1;55;2;2;2;2;2632;36;23;0;0;0;0;2;0.46
123;3337;23;3;3;3;3;2634;20;25;0;0.9;0;1;3;0.73
118;28837;22;1;1;1;1;2634;40;25;0;8;0;0;1;0.27
286;6672;23474;1;1;1;1;2636;7;27;0;1.9;0;0;1;0.43
121;5470967;32;1;1;1;1;2638;2;29;0;1519.7;63;1;1;0.35
352;389187;80;1;1;1;1;2644;21;35;0;108.1;5;0;1;0.51
145;5519;10;2;3;3;3;2646;23;37;0;1.5;0;1;3;0.67
108;208510;30;1;3;2;3;2652;30;32;0;57.9;2;0;3;0.31
116;2725961;83;2;4;2;5;2652;26;31;0;757.2;32;1;5;0.57
90;3418787;17;1;2;1;2;2652;26;30;0;949.7;40;0;2;0.31
141;3010864;128;1;1;1;1;2652;12;21;0;836.4;35;1;1;0.48
121;121202;2490;2;3;3;3;2652;8;21;0;33.7;1;0;3;0.34
196;98050;2983;2;2;2;2;2655;80;21;0;27.2;1;0;2;0.21
171;63858;66;1;2;1;2;2659;1;19;0;17.7;1;0;1;0.42
62;617324;408;1;1;1;1;2660;4;20;0;171.5;7;1;1;0.64
146;8613;42;1;4;2;4;2661;31;14;0;2.4;0;1;4;0.41
97;95799;19;1;2;1;2;2661;18;14;0;26.6;1;0;2;0.74
218;252389;2386;1;1;1;1;2661;34;9;0;70.1;3;1;1;0.72
167;-1;1;1;1;1;1;2661;107;9;0;0;0;1;1;0.43
148;496309;132;1;1;1;1;2661;14;9;0;137.9;6;0;1;0.26
104;87946;29;1;2;2;2;2664;8;8;0;24.4;1;1;2;0.7
183;10763;37;1;1;1;1;2665;8;8;0;3;0;0;1;0.4
275;36691;6307;4;4;4;4;2665;26;6;0;10.2;0;1;4;0.64
270;57356;18;1;1;1;1;2667;46;8;0;15.9;1;0;1;0.43
399;131370;2350;2;3;3;3;2673;2;12;0;36.5;2;1;2;0.44
169;-1;10;2;2;2;2;2673;38;12;0;0;0;0;2;0.51
31;5201;294;1;1;1;1;2673;21;12;0;1.4;0;0;16;0.76
95;10240;287;1;4;4;4;2673;25;12;0;2.8;0;1;4;0.63
226;251208;223;3;4;4;4;2678;33;17;0;69.8;3;0;4;0.5
45;2069025;12;1;2;2;2;2680;25;19;0;574.7;24;1;2;0.58
66;124192;22;1;2;2;2;2680;29;19;0;34.5;1;0;2;0.53
254;3456;37;2;3;3;5;2682;7;21;0;1;0;0;5;0.46
325;601985;5;1;1;1;1;2682;29;21;0;167.2;7;0;1;0.47
117;259143;13;2;3;3;3;2682;11;21;0;72;3;1;3;0.56
127;68484;9;1;1;1;1;2682;6;20;0;19;1;1;1;0.74
426;1145259;25;1;1;1;1;2682;22;20;0;318.1;13;1;1;0.26
153;3579;210;2;3;3;3;2682;13;20;0;1;0;0;3;0.58
293;7923;30;1;1;1;1;2682;66;19;0;2.2;0;0;1;0.58
74;30723;15;1;1;1;1;2682;50;19;0;8.5;0;1;1;0.28
138;14458;51;2;2;2;2;2683;71;18;0;4;0;0;2;0.65
180;20847;261;2;2;2;2;2683;36;18;0;5.8;0;0;2;0.74
47;524270;28;1;1;1;1;2683;7;18;0;145.6;6;1;1;0.48
817;12337;13;1;1;1;1;2683;27;16;0;3.4;0;1;1;0.57
459;9937;1049;3;4;4;4;2683;20;15;0;2.8;0;0;4;0.56
96;18384;37;1;3;2;3;2684;23;14;0;5.1;0;1;3;0.77
117;195299;47;3;3;3;3;2688;22;15;0;54.2;2;0;3;0.53
143;59695;95;3;4;3;4;2688;36;15;0;16.6;1;1;4;0.71
236;28136;235;2;2;2;2;2688;6;8;0;7.8;0;1;2;0.21
71;36064;18;1;2;2;2;2688;54;6;0;10;0;0;2;0.2
95;2347;11;1;1;1;1;2688;22;6;0;0.7;0;1;1;0.45
97;12309;11;1;2;2;3;2689;1;7;0;3.4;0;0;1;0.23
95;16202;27;2;2;2;2;2689;34;7;0;4.5;0;0;2;0.75
333;2275;2388;1;2;2;2;2689;24;7;0;0.6;0;0;2;0.57
52;7528;170;2;4;3;6;2691;7;8;0;2.1;0;0;6;0.89
60;244842;11;1;2;2;2;2691;32;8;0;68;3;0;2;0.78
170;75925;17;1;1;1;1;2691;3;8;0;21.1;1;1;1;0.79
256;9496;22;1;1;1;1;2691;73;8;0;2.6;0;1;1;0.37
61;125288;31;1;1;1;1;2691;28;8;0;34.8;1;1;1;0.7
115;15447;12;1;1;1;2;2693;10;9;0;4.3;0;1;2;0.77
232;42633;187;1;1;1;1;2694;10;5;0;11.8;0;1;1;0.71
128;1244090;28;1;1;1;1;2694;9;5;0;345.6;14;0;1;0.27
117;8080;8;1;1;1;1;2694;26;2;0;2.2;0;0;1;0.46
79;549434;65;1;2;2;2;2695;30;2;0;152.6;6;0;2;0.67
140;2595522;11;1;1;1;1;2695;76;1;0;721;30;0;1;0.28
131;20369;3;1;1;1;1;2695;14;1;0;5.7;0;0;1;0.52
213;1214352;9;1;2;2;2;2695;20;1;0;337.3;14;0;2;0.31
505;45767;16;1;1;1;2;2695;85;1;0;12.7;1;1;2;0.8
44;218681;8;2;3;3;5;2695;4;1;0;60.7;3;0;3;0.7
193;31826;319;1;1;1;1;2695;19;1;0;8.8;0;1;1;0.44
32;-1;9;1;1;1;1;2695;27;1;0;0;0;0;21;0.76
123;19943;85;3;4;4;4;2695;38;1;0;5.5;0;0;4;0.31
44;8833824;157;2;2;2;2;2696;62;2;0;2453.8;102;0;2;0.72
236;29977;3;1;1;1;1;2697;30;3;0;8.3;0;0;1;0.39
163;5554;9;2;2;2;2;2699;6;5;0;1.5;0;1;2;0.26
137;3094;69;3;4;3;4;2701;45;6;0;0.9;0;0;4;0.51
71;809275;9;1;1;1;1;2701;18;6;0;224.8;9;0;1;0.42
321;9521;8;1;1;1;1;2701;26;6;0;2.6;0;1;1;0.2
287;11619;9;1;1;1;1;2701;74;6;0;3.2;0;1;1;0.46
117;17119;1638;1;1;1;1;2701;78;6;0;4.8;0;1;1;0.5
91;14146;27;1;2;1;5;2701;21;6;0;3.9;0;1;5;0.24
207;13425;889;4;4;4;4;2701;2;5;0;3.7;0;1;1;0.29
241;50009;1166;1;2;1;2;2701;5;2;0;13.9;1;0;2;0.39
69;88334;46;1;3;2;3;2701;13;0;0;24.5;1;1;3;0.47
136;8254;5;1;1;1;2;2701;53;0;0;2.3;0;0;2;0.26
107;184083;19;1;1;1;1;2702;12;1;0;51.1;2;1;1;0.76
163;2876;448;2;2;2;2;2702;32;1;0;0.8;0;1;2;0.43
103;459976;180;2;3;2;4;2703;3;2;0;127.8;5;0;0;0.78
166;5720;56;1;1;1;1;2703;22;2;0;1.6;0;0;1;0.32
196;53469;210;1;1;1;1;2704;29;3;0;14.9;1;0;1;0.74
143;34399937;8;1;1;1;1;2704;25;3;0;9555.5;398;1;1;0.33
244;38763;331;1;1;1;1;2704;16;3;0;10.8;0;0;1;0.29
60;-1;8;1;2;2;2;2704;2;3;0;0;0;1;0;0.6
184;68767;323;1;1;1;1;2705;10;4;0;19.1;1;1;1;0.75
154;5370;19;1;2;1;2;2707;35;6;0;1.5;0;0;2;0.31
583;193056;2;1;2;1;3;2707;26;6;0;53.6;2;0;3;0.5
256;8990;29;1;1;1;1;2707;22;6;0;2.5;0;0;1;0.39
61;100204;11;1;1;1;1;2707;6;6;0;27.8;1;0;1;0.21
87;8924;21;2;2;2;2;2707;35;6;0;2.5;0;1;2;0.42
131;109406;100;1;2;1;2;2707;3;5;0;30.4;1;0;2;0.77
235;83633;2;1;1;1;1;2707;8;5;0;23.2;1;0;1;0.66
361;60411;636;1;2;1;2;2707;14;5;0;16.8;1;1;2;0.67
182;18811;10;1;3;2;3;2709;5;2;0;5.2;0;1;3;0.44
115;21722;65;1;2;2;2;2713;16;5;0;6;0;1;2;0.62
729;5819;58;1;1;1;1;2713;85;5;0;1.6;0;1;1;0.37
518;13574;64;1;1;1;1;2713;31;4;0;3.8;0;0;1;0.49
304;39199;392;1;2;2;2;2713;79;4;0;10.9;0;1;2;0.5
200;65592;8;2;2;2;2;2713;35;4;0;18.2;1;0;2;0.78
100;47991;1;1;2;2;2;2713;3;4;0;13.3;1;0;2;0.34
161;15435;276;2;2;2;2;2714;27;5;0;4.3;0;1;2;0.43
196;4785;18;2;2;2;2;2714;3;5;0;1.3;0;0;2;0.45
31;35377;22;1;1;1;1;2714;63;2;0;9.8;0;1;1;0.48
21;9621;228;2;2;2;2;2714;22;1;0;2.7;0;0;16;0.72
161;2641;812;2;2;2;2;2714;71;1;1;0.7;0;0;2;0.63
31;157911;24;1;1;1;1;2715;13;2;1;43.9;2;0;1;0.73
120;145663;35;1;1;1;1;2715;19;1;1;40.5;2;0;1;0.75
349;46007;5;1;1;1;1;2715;16;1;1;12.8;1;0;1;0.43
331;626601;959;1;1;1;1;2715;74;1;1;174.1;7;0;1;0.29
99;305;548;2;2;2;2;2716;9;2;1;0.1;0;0;2;0.71
78;1124402;6;2;2;2;2;2717;11;2;1;312.3;13;0;2;0.51
16;7783;32;2;2;2;2;2717;34;2;1;2.2;0;0;25;0.72
251;-3861;3;1;2;2;2;2718;1;3;1;0;0;0;0;0.26
152;700;28;4;4;4;4;2719;5;3;1;0.2;0;0;4;0.62
128;4133;5;1;1;1;1;2719;18;3;1;1.1;0;0;1;0.31
948;8476;40;1;2;2;2;2719;28;2;1;2.4;0;0;2;0.48
104;11279169;9;2;5;4;5;2720;33;3;1;3133.1;131;0;5;0.57
39;85413;9;1;1;1;1;2720;24;3;1;23.7;1;0;1;0.47
97;313576;28;1;1;1;1;2720;38;3;1;87.1;4;0;1;0.68
196;133711;16;1;2;2;2;2720;14;3;1;37.1;2;0;2;0.6
89;57877;6;1;1;1;1;2720;5;3;1;16.1;1;0;1;0.25
91;727941;4;2;2;2;2;2720;23;3;1;202.2;8;0;2;0.56
56;157422;5;1;1;1;1;2720;22;3;1;43.7;2;0;1;0.49
99;14183;8;1;2;1;2;2720;18;3;1;3.9;0;0;2;0.66
396;5731;9;1;2;2;2;2720;14;3;1;1.6;0;0;2;0.27
111;1173452;22;1;1;1;1;2721;29;3;1;326;14;0;1;0.52
71;61173;192;1;1;1;1;2721;8;3;1;17;1;0;1;0.41
116;76241;3;1;2;2;2;2721;36;3;1;21.2;1;0;2;0.79
133;83275;7;1;4;3;4;2721;44;3;1;23.1;1;0;4;0.22
251;2352836;2;1;1;1;1;2723;20;0;0;653.6;27;0;1;0.33
188;266240;9;1;1;1;1;2723;7;0;0;74;3;1;1;0.31
195;1390040;2;1;1;1;1;2723;24;0;0;386.1;16;0;1;0.5
232;455055;1;1;1;1;1;2723;18;0;0;126.4;5;0;1;0.44
25;835097;78;1;1;1;1;2724;35;1;0;232;10;1;1;0.61
